objectid,title,genresubgenre,additiondate,publicationdate,author,format,callnumber,publisher,filename
coll001,Crook Manifesto,Mystery,11/8/2023,18-Jul-23,Colson Whitehead,Book,MYS Whitehead,Doubleday,https://cmlibrary.bibliocommons.com/v2/record/S106C3355172
coll002,Take the Long Way Home,Romance,11/8/2023,24-Oct-23,Rochelle Alers,Book,ROM Alers,Kensington,https://cmlibrary.bibliocommons.com/v2/record/S106C3383861
coll003,The Other Black Girl,Thriller,11/8/2023,7-Jun-22,Zakiya Dalila Harris,Book,THR Harris,Atria Books,https://cmlibrary.bibliocommons.com/v2/record/S106C2963778
coll004,Black Cake,Contemporary,11/8/2023,29-Nov-22,Charmaine Wilkerson,Book,CON Wilkerson,‎Random House Publishing Group ,https://cmlibrary.bibliocommons.com/v2/record/S106C3089938
coll005,Sister Friends Forever,Contemporary,11/8/2023,13-Jun-23,Kimberla Lawson Roby,Book,CON Roby,Grand Central Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C3296048
coll006,Let Us Descend,Historical Fiction,11/8/2023,24-Oct-23,Jasmyn Ward,Book,HIS Ward,Scribner,https://cmlibrary.bibliocommons.com/v2/record/S106C3367220
coll007,The Secret Lives of Church Ladies,Contemporary,11/8/2023,1-Sep-20,Deesha Philyaw,Book,CON Philyaw,West Virginia University Press,https://cmlibrary.bibliocommons.com/v2/record/S106C2838409
coll008,Honey & Spice,Romance,11/8/2023,4-Jul-23,Bolu Babalola,Book,ROM Babalola,William Morrow Paperbacks,https://cmlibrary.bibliocommons.com/v2/record/S106C3293426
coll009,Have We Met?,Romance,11/10/2023,1-Jul-21,Camille Baker,Book,ROM Baker,Lake Union Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C3314818
coll010,Black Candle Women,Science Fiction,11/10/2023,28-Feb-23,Diane Marie Brown,Book,SCI Brown,Graydon House,https://cmlibrary.bibliocommons.com/v2/record/S106C3339350
coll011,The Perfect Find,Romance,11/10/2023,14-Sep-21,Tia Williams,Book,ROM Williams,Grand Central Publishing,https://cmlibrary.bibliocommons.com/v2/record/S106C1923377
coll012,Perfect Peace,Contemporary,11/15/2023,6-Dec-11,Daniel Black,Book,CON Black,St. Martin's Griffin,https://cmlibrary.bibliocommons.com/v2/record/S106C3354464
coll013,When No One Is Watching,Thriller,11/15/2023,1-Sep-20,Allysa Cole,Book,THR Cole,William Morrow Paperbacks,https://cmlibrary.bibliocommons.com/v2/record/S106C2801976
collo14,If Beale Street Could Talk,Romance,11/15/2023,10-Oct-06,James Baldwin,Book,ROM Baldwin,Vintage,https://cmlibrary.bibliocommons.com/v2/record/S106C1086248
collo15,Song of Solomon,Contemporary,11/15/2023,8-Jun-04,Toni Morrison,Book,CON Morrison,Vintage,https://cmlibrary.bibliocommons.com/v2/record/S106C1293627
collo16,Touched,Mystery,11/15/2023,10-Oct-23,Walter Mosley,Book,MYS Mosley,Atlantic Monthly Press,https://cmlibrary.bibliocommons.com/v2/record/S106C3383801
collo17,Kindred,Science Fiction,11/15/2023,1-Jan-03,Octavia Butler,Book,SCI Butler,Beacon Press,https://cmlibrary.bibliocommons.com/v2/record/S106C2059749
coll018,The New Naturals,Science Fiction,11/28/2023,11/14/2023,Gabriel Bump,eBook,SCI Bump,Algonquin Books of Chapel Hill,https://cmlibrary.bibliocommons.com/v2/record/S106C4183286
coll019,Hush Harbor,Science Fiction,11/28/2023,9/5/2023,Anise Vance,eBook,SCI Vance,Hanover Square Press,https://cmlibrary.bibliocommons.com/v2/record/S106C3364773
coll020,Lakewood,Science Fiction,11/28/2023,3/16/2021,Megan Giddings,eBook,SCI Giddings,"Amistad, an imprint of Harper Collins Publishers",https://cmlibrary.bibliocommons.com/v2/record/S106C2706184
coll021,Campaign for Her Heart,Romance,11/28/2023,10/25/2018,Patricia Sargeant,eBook,ROM Sargeant,"Mediopolis Communications, LLC",https://cmlibrary.bibliocommons.com/v2/record/S106C3506588
coll022,Before I Let Go,Romance,11/28/2023,11/15/2022,Kennedy Ryan,eBook,ROM Ryan,Forever,https://cmlibrary.bibliocommons.com/v2/record/S106C3338491
coll023,Soul of a Killer,Mystery,11/28/2023,10/4/2022,Abby Collette,Audiobook,MYS Collette,Tantor Audio,https://cmlibrary.bibliocommons.com/v2/record/S106C3382776
coll024,Least Wanted,Mystery,11/28/2023,12/21/2010,Debbi Mack,Audiobook,MYS Mack,Findaway Voices,https://cmlibrary.bibliocommons.com/v2/record/S106C4085170
coll025,Daykeeper,Contemporary,11/28/2023,5/10/2019,Ran (Randolph) Walker,Audiobook,CON Walker,"ListenUp Production, LLC",https://cmlibrary.bibliocommons.com/v2/record/S106C4064144
coll026,The Heaven & Earth Grocery Store,Historical Fiction,11/28/2023,8/8/2023,James McBride,Audiobook,HIS McBride,Books on Tape,https://cmlibrary.bibliocommons.com/v2/record/S106C4119365
coll027,Horse,Historical Fiction,11/28/2023,6/14/2022,Geraldine Brooks,Audiobook,HIS Brooks,"Viking, an imprint of Penguin Random House, LLC",https://cmlibrary.bibliocommons.com/v2/record/S106C3280113
