objectid,title,genresubgenre,additiondate,date,creator,media-format,format,callnumber,publisher,filename,cataloglink
coll001,Crook Manifesto,Mystery,11/8/2023,18-Jul-23,Colson Whitehead,Book,image/jpeg,MYS Whitehead,Doubleday,coll001.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3355172
coll002,Take the Long Way Home,Romance,11/8/2023,24-Oct-23,Rochelle Alers,Book,image/jpeg,ROM Alers,Kensington,coll002.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3383861
coll003,The Other Black Girl,Thriller,11/8/2023,7-Jun-22,Zakiya Dalila Harris,Book,image/jpeg,THR Harris,Atria Books,coll003.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C2963778
coll004,Black Cake,Contemporary,11/8/2023,29-Nov-22,Charmaine Wilkerson,Book,image/jpeg,CON Wilkerson,‎Random House Publishing Group,coll004.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3089938
coll005,Sister Friends Forever,Contemporary,11/8/2023,13-Jun-23,Kimberla Lawson Roby,Book,image/jpeg,CON Roby,Grand Central Publishing,coll005.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3296048
coll006,Let Us Descend,Historical Fiction,11/8/2023,24-Oct-23,Jasmyn Ward,Book,image/jpeg,HIS Ward,Scribner,coll006.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3367220
coll007,The Secret Lives of Church Ladies,Contemporary,11/8/2023,1-Sep-20,Deesha Philyaw,Book,image/jpeg,CON Philyaw,West Virginia University Press,coll007.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C2838409
coll008,Honey & Spice,Romance,11/8/2023,4-Jul-23,Bolu Babalola,Book,image/jpeg,ROM Babalola,William Morrow Paperbacks,coll008.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3293426
coll009,Have We Met?,Romance,11/10/2023,1-Jul-21,Camille Baker,Book,image/jpeg,ROM Baker,Lake Union Publishing,coll009.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3314818
coll010,Black Candle Women,Science Fiction,11/10/2023,28-Feb-23,Diane Marie Brown,Book,image/jpeg,SCI Brown,Graydon House,coll010.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3339350
coll011,The Perfect Find,Romance,11/10/2023,14-Sep-21,Tia Williams,Book,image/jpeg,ROM Williams,Grand Central Publishing,coll011.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C1923377
coll012,Perfect Peace,Contemporary,11/15/2023,6-Dec-11,Daniel Black,Book,image/jpeg,CON Black,St. Martin's Griffin,coll012.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3354464
coll013,When No One Is Watching,Thriller,11/15/2023,1-Sep-20,Allysa Cole,Book,image/jpeg,THR Cole,William Morrow Paperbacks,coll013.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C2801976
collo14,If Beale Street Could Talk,Romance,11/15/2023,10-Oct-06,James Baldwin,Book,image/jpeg,ROM Baldwin,Vintage,collo14.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C1086248
collo15,Song of Solomon,Contemporary,11/15/2023,8-Jun-04,Toni Morrison,Book,image/jpeg,CON Morrison,Vintage,collo15.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C1293627
collo16,Touched,Mystery,11/15/2023,10-Oct-23,Walter Mosley,Book,image/jpeg,MYS Mosley,Atlantic Monthly Press,collo16.jpg,https://cmlibrary.bibliocommons.com/v2/record/S106C3383801
